Data							
Generate on XXXX-XX-XX							
resort	confirmation_no	resv_status	business_date	market_code	country_code	no_rooms_cal	rev_cal
Example	561374	CHECKED OUT	01-07-2023	test18	CH	1	2451.58
Example	592968	CHECKED OUT	01-07-2023	test8	AE	0	0
Example	591046	CHECKED OUT	01-07-2023	test8	AE	1	2222.6
Example	591053	CANCELLED	01-07-2023	test11	CN	0	0
Example	591068	CHECKED OUT	01-07-2023	test15	IN	1	3899.7
Example	591160	CHECKED OUT	01-07-2023	test15	IN	0	0
Example	591075	CHECKED OUT	01-07-2023	test10	AU	0	0
Example	592106	CHECKED OUT	01-07-2023	test10	MM	0	0
Example	592905	CHECKED OUT	01-07-2023	test12	AE	0	0
Example	591759	CHECKED OUT	01-07-2023	test12	AE	1	2632.5
Example	592906	CHECKED OUT	01-07-2023	test12	AE	0	0
Example	592919	CHECKED OUT	01-07-2023	test12	AE	0	0
Example	592921	CHECKED OUT	01-07-2023	test12	ET	0	0
Example	591763	CHECKED OUT	01-07-2023	test9	FR	1	2264.23
Example	591765	CHECKED OUT	01-07-2023	test9	CN	1	2643.58
Example	592314	CHECKED OUT	01-07-2023	test4	SG	0	0.02
Example	592533	CHECKED OUT	01-07-2023	test4	SG	0	0
Example	592315	CHECKED OUT	01-07-2023	test19	KR	1	4000
Example	592338	CHECKED OUT	01-07-2023	test8	JP	1	2720
Example	592339	CHECKED OUT	01-07-2023	test8	GB	0	0
Example	592347	CHECKED OUT	01-07-2023	test11	QA	1	3600
Example	592351	CHECKED OUT	01-07-2023	test11	BD	1	3748
Example	593298	CHECKED OUT	01-07-2023	test11	TH	0	0
Example	593299	CHECKED OUT	01-07-2023	test11	TH	0	0
Example	592352	CHECKED OUT	01-07-2023	test11	IN	1	4900
Example	593403	CHECKED OUT	01-07-2023	test11	IN	0	0
Example	592370	CHECKED OUT	01-07-2023	test11	JP	1	3600
Example	592372	CHECKED OUT	01-07-2023	test20	SA	0	0
Example	592385	CHECKED OUT	01-07-2023	test20	IN	1	2048.85
Example	561600	CANCELLED	01-07-2023	test11	SG	0	0
Example	562282	CHECKED OUT	01-07-2023	test7	AT	1	5743.3
Example	593404	CHECKED OUT	01-07-2023	test7	AT	0	0
Example	593405	CHECKED OUT	01-07-2023	test7	AT	0	0
Example	562946	CANCELLED	01-07-2023	test11	AE	0	0
Example	526260	CANCELLED	01-07-2023	test1	IN	0	0
Example	564777	CANCELLED	01-07-2023	test11	AU	0	0
Example	593296	CHECKED OUT	01-07-2023	test9	TH	0	0
Example	588604	CHECKED OUT	01-07-2023	test21	GB	0	0
Example	588614	CHECKED OUT	01-07-2023	test11	TW	1	3059.68
Example	588667	CHECKED OUT	01-07-2023	test21	JP	0	0
Example	588726	CHECKED OUT	01-07-2023	test22	JP	0	0
Example	588729	CHECKED OUT	01-07-2023	test11	US	1	4682.6
Example	588830	NO SHOW	01-07-2023	test20	IN	0	0
Example	592926	CHECKED OUT	01-07-2023	test9	CN	0	0
Example	591593	CHECKED OUT	01-07-2023	test6	SA	1	3228.54
Example	591794	CANCELLED	01-07-2023	test11	IN	0	0
Example	591818	CHECKED OUT	01-07-2023	test15	IT	1	3720
Example	591823	CANCELLED	01-07-2023	test11	IN	0	0
Example	591835	CANCELLED	01-07-2023	test7	BD	0	0
Example	591836	CANCELLED	01-07-2023	test7	BD	0	0
Example	591842	CANCELLED	01-07-2023	test7	BD	0	0
Example	585201	CHECKED OUT	01-07-2023	test11	SA	0	0.01
Example	592761	CHECKED OUT	01-07-2023	test11	SA	0	0
Example	585202	CHECKED OUT	01-07-2023	test11	SA	0	0
Example	592760	CHECKED OUT	01-07-2023	test11	SA	0	0
Example	585260	CHECKED OUT	01-07-2023	test11	GB	0	0.01
Example	585413	CANCELLED	01-07-2023	test9	PK	0	0
Example	549245	CHECKED IN	01-07-2023	test1	TH	0	0
Example	593203	CHECKED OUT	01-07-2023	test20	IN	0	0
Example	593401	CHECKED OUT	01-07-2023	test20		0	0
Example	592388	CHECKED OUT	01-07-2023	test20	SE	1	2218.77
Example	593220	CHECKED OUT	01-07-2023	test20	TH	0	0
Example	592391	CHECKED OUT	01-07-2023	test20	SA	0	0
Example	593279	CHECKED OUT	01-07-2023	test20	SA	0	0
Example	592403	NO SHOW	01-07-2023	test11	CN	0	0
Example	592404	CANCELLED	01-07-2023	test11	CN	0	0
Example	592407	CHECKED OUT	01-07-2023	test20	CN	1	2638.7
Example	592411	CANCELLED	01-07-2023	test11	CN	0	0
Example	592424	CHECKED OUT	01-07-2023	test9	SA	1	2264.23
Example	592453	CHECKED OUT	01-07-2023	test20	KR	1	2053.74
Example	593264	CHECKED OUT	01-07-2023	test20	KR	0	0
Example	593265	CHECKED OUT	01-07-2023	test20	KR	0	0
Example	588832	CANCELLED	01-07-2023	test20	IN	0	0
Example	588839	CANCELLED	01-07-2023	test20	PK	0	0
Example	588990	CHECKED OUT	01-07-2023	test8	KR	1	2530.69
Example	589014	CHECKED OUT	01-07-2023	test20	CN	1	2688.5
Example	593493	CHECKED OUT	01-07-2023	test20	CN	0	0
Example	593494	CHECKED OUT	01-07-2023	test20	CN	0	0
Example	589015	CHECKED OUT	01-07-2023	test20	CN	1	2688.5
Example	593478	CHECKED OUT	01-07-2023	test20	CN	0	0
Example	590499	CANCELLED	01-07-2023	test23		0	0
Example	590501	CHECKED OUT	01-07-2023	test10	US	0	0.01
Example	593261	CHECKED OUT	01-07-2023	test10	TH	0	0
Example	590502	CHECKED OUT	01-07-2023	test10	US	0	0.01
Example	590508	CHECKED OUT	01-07-2023	test7	US	1	4028.56
Example	593463	CHECKED OUT	01-07-2023	test7	US	0	0
Example	585716	CHECKED OUT	01-07-2023	test11	QA	1	3114.4
Example	585717	CHECKED OUT	01-07-2023	test11	QA	1	3114.4
Example	585718	CHECKED OUT	01-07-2023	test11	QA	1	3114.4
Example	568255	CHECKED IN	01-07-2023	test1	TH	0	0
Example	586132	CHECKED OUT	01-07-2023	test4	JP	0	0
Example	592723	CHECKED OUT	01-07-2023	test4	JP	0	0
Example	586207	CHECKED OUT	01-07-2023	test7	JP	0	0
Example	586276	CHECKED OUT	01-07-2023	test11	TH	1	3712
Example	589953	CANCELLED	01-07-2023	test7	AE	0	0
Example	590020	CHECKED OUT	01-07-2023	test19	AU	1	3440.53
Example	591157	CHECKED OUT	01-07-2023	test19	TH	0	0
Example	591158	CHECKED OUT	01-07-2023	test19	TH	0	0
Example	590048	NO SHOW	01-07-2023	test11	SA	0	0
Example	590106	CHECKED OUT	01-07-2023	test21	IN	0	0
Example	593266	CHECKED OUT	01-07-2023	test20	KR	0	0
Example	592460	CHECKED OUT	01-07-2023	test19	KR	1	4000
Example	592461	CANCELLED	01-07-2023	test11	CN	0	0
Example	592464	NO SHOW	01-07-2023	test11	CN	0	0
Example	592486	CHECKED OUT	01-07-2023	test24	UA	0	0.01
Example	592490	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592491	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592492	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592493	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592494	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592495	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592496	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592498	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592499	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592500	CHECKED IN	01-07-2023	test1	TH	0	0
Example	590551	CHECKED OUT	01-07-2023	test20	JO	0	0.01
Example	592756	CHECKED OUT	01-07-2023	test20	JO	0	0
Example	590570	CANCELLED	01-07-2023	test7	GR	0	0
Example	590615	CANCELLED	01-07-2023	test7	HK	0	0
Example	590641	NO SHOW	01-07-2023	test12	QA	0	0
Example	590642	CHECKED OUT	01-07-2023	test10	US	1	3988.82
Example	592985	CHECKED OUT	01-07-2023	test10	US	0	0
Example	590656	CHECKED OUT	01-07-2023	test12	SA	1	3376.54
Example	593473	CHECKED OUT	01-07-2023	test12	SA	0	0
Example	591276	CHECKED OUT	01-07-2023	test14	IN	1	3519.84
Example	591345	CHECKED OUT	01-07-2023	test9	KR	1	2215.46
Example	591346	CHECKED OUT	01-07-2023	test9	IN	1	2048.85
Example	593268	CHECKED OUT	01-07-2023	test9	IN	0	0
Example	591347	CHECKED OUT	01-07-2023	test9	DE	0	0.01
Example	590128	CHECKED OUT	01-07-2023	test12	CH	1	2846.55
Example	593449	CHECKED OUT	01-07-2023	test12	TH	0	0
Example	590183	CANCELLED	01-07-2023	test12	IN	0	0
Example	590186	CHECKED OUT	01-07-2023	test12	IN	1	2536.89
Example	592558	CHECKED OUT	01-07-2023	test12	IN	0	0
Example	592559	CHECKED OUT	01-07-2023	test12		0	0
Example	590188	CHECKED OUT	01-07-2023	test8	HK	1	2924.51
Example	592783	CHECKED OUT	01-07-2023	test8	GB	0	0
Example	590201	CANCELLED	01-07-2023	test15	RU	0	0
Example	592107	CHECKED OUT	01-07-2023	test10		0	0
Example	591077	CHECKED OUT	01-07-2023	test19	MY	0	0
Example	592717	CHECKED OUT	01-07-2023	test19	MY	0	0
Example	591088	CHECKED OUT	01-07-2023	test20	IN	1	2048.85
Example	593297	CHECKED OUT	01-07-2023	test20	IN	0	0
Example	592501	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592502	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592513	CHECKED OUT	01-07-2023	test20	IN	0	0
Example	593290	CHECKED OUT	01-07-2023	test20	TH	0	0
Example	593291	CHECKED OUT	01-07-2023	test20	TH	0	0
Example	592521	CHECKED OUT	01-07-2023	test8	TH	1	2720
Example	592527	CHECKED OUT	01-07-2023	test11	NL	1	4279.7
Example	593402	CHECKED OUT	01-07-2023	test11	TH	0	0
Example	592534	CHECKED OUT	01-07-2023	test14	TH	0	0
Example	592542	CHECKED OUT	01-07-2023	test12	YE	0	0
Example	593289	CHECKED OUT	01-07-2023	test12	TH	0	0
Example	592556	NO SHOW	01-07-2023	test11	CN	0	0
Example	592562	NO SHOW	01-07-2023	test14	CA	0	0
Example	592566	CHECKED OUT	01-07-2023	test25	BH	0	0
Example	592663	CHECKED OUT	01-07-2023	test25	BH	0	0
Example	593112	CHECKED OUT	01-07-2023	test9	TH	0	0
Example	591348	CHECKED OUT	01-07-2023	test9	KR	1	2215.46
Example	591350	CHECKED OUT	01-07-2023	test7	SA	0	0.01
Example	593252	CHECKED OUT	01-07-2023	test7	SA	0	0
Example	591358	CHECKED OUT	01-07-2023	test9	RU	1	2518.97
Example	591360	CHECKED OUT	01-07-2023	test7	TH	0	0
Example	592713	CHECKED OUT	01-07-2023	test7	FR	0	0
Example	591414	CHECKED IN	01-07-2023	test21	IN	1	3200
Example	591438	CANCELLED	01-07-2023	test11	CN	0	0
Example	591463	CHECKED OUT	01-07-2023	test8	JP	0	0
Example	593282	CHECKED OUT	01-07-2023	test22	TH	0	0
Example	575362	CHECKED OUT	01-07-2023	test11	GB	1	4160.27
Example	593278	CHECKED OUT	01-07-2023	test11	GB	0	0
Example	564917	CANCELLED	01-07-2023	test1	CN	0	0
Example	591092	NO SHOW	01-07-2023	test11	CN	0	0
Example	591096	CHECKED OUT	01-07-2023	test12	DK	0	0
Example	591101	CHECKED OUT	01-07-2023	test21	IN	1	3063.51
Example	591148	CHECKED OUT	01-07-2023	test11	SE	1	2659
Example	593293	CHECKED OUT	01-07-2023	test11	SE	0	0
Example	591149	CHECKED OUT	01-07-2023	test11	SE	1	2409
Example	593292	CHECKED OUT	01-07-2023	test11	SE	0	0
Example	591159	CHECKED OUT	01-07-2023	test25	DE	0	0.01
Example	591945	CHECKED OUT	01-07-2023	test25	DE	0	0
Example	591163	CHECKED OUT	01-07-2023	test6	RU	0	0
Example	591843	CANCELLED	01-07-2023	test7	BD	0	0
Example	591845	CANCELLED	01-07-2023	test7	BD	0	0
Example	591857	NO SHOW	01-07-2023	test11	GB	0	0
Example	591877	CANCELLED	01-07-2023	test6	SG	0	0
Example	592567	CHECKED OUT	01-07-2023	test25	BH	0	0
Example	592689	CHECKED OUT	01-07-2023	test25	TH	0	0
Example	592568	CHECKED OUT	01-07-2023	test25	BH	0	-679.69
Example	592677	CHECKED OUT	01-07-2023	test25	PH	0	0
Example	589977	CHECKED IN	01-07-2023	test26	TH	0	0
Example	591433	CHECKED IN	01-07-2023	test2	TH	0	0
Example	592100	CHECKED IN	01-07-2023	test20	AU	0	0
Example	592607	NO SHOW	01-07-2023	test11	CN	0	0
Example	592614	CANCELLED	01-07-2023	test11	MM	0	0
Example	592624	NO SHOW	01-07-2023	test11	CN	0	0
Example	592625	CHECKED OUT	01-07-2023	test20	SA	1	2298.85
Example	592626	CHECKED OUT	01-07-2023	test20	JP	1	2388.7
Example	592652	CHECKED OUT	01-07-2023	test6	JP	1	3804.63
Example	592616	CHECKED OUT	01-07-2023	test20	SA	1	2553.74
Example	566127	CANCELLED	01-07-2023	test1	RU	0	0
Example	567249	CANCELLED	01-07-2023	test11	SG	0	0
Example	570891	CANCELLED	01-07-2023	test27	IN	0	0
Example	574320	CANCELLED	01-07-2023	test11	SG	0	0
Example	574321	CANCELLED	01-07-2023	test11	SG	0	0
Example	574482	CHECKED OUT	01-07-2023	test11	FR	0	0
Example	592137	CHECKED OUT	01-07-2023	test11	SG	0	0
Example	590026	CHECKED OUT	01-07-2023	test8	TH	1	2989.3
Example	593276	CHECKED OUT	01-07-2023	test8	TH	0	0
Example	574748	CHECKED OUT	01-07-2023	test22	AU	1	3375.7
Example	574749	CHECKED OUT	01-07-2023	test22	AU	1	3375.7
Example	589016	CHECKED OUT	01-07-2023	test20	CN	1	2813.5
Example	593495	CHECKED OUT	01-07-2023	test20	TH	0	0
Example	589036	CANCELLED	01-07-2023	test11	AE	0	0
Example	591880	CANCELLED	01-07-2023	test7	AE	0	0
Example	591882	CHECKED OUT	01-07-2023	test8	SG	0	0.01
Example	592561	CHECKED OUT	01-07-2023	test8	SG	0	0
Example	592705	CHECKED OUT	01-07-2023	test8	CN	0	0
Example	591886	CANCELLED	01-07-2023	test11	AE	0	0
Example	591887	CHECKED OUT	01-07-2023	test6	NL	1	1608.68
Example	591889	CHECKED OUT	01-07-2023	test20	CN	1	2388.7
Example	593197	CHECKED OUT	01-07-2023	test20	CN	0	0
Example	591890	NO SHOW	01-07-2023	test6	TH	0	0
Example	591905	CHECKED OUT	01-07-2023	test19	US	0	0.01
Example	591906	CHECKED OUT	01-07-2023	test7	OM	1	3720
Example	593471	CHECKED OUT	01-07-2023	test11	IR	0	0
Example	586428	CHECKED IN	01-07-2023	test1	TH	0	0
Example	584015	CHECKED IN	01-07-2023	test1	TH	0	0
Example	592679	CHECKED OUT	01-07-2023	test28	AE	0	0
Example	592684	CHECKED OUT	01-07-2023	test28	AE	0	0
Example	592686	CHECKED OUT	01-07-2023	test28	AE	0	0
Example	592691	CHECKED OUT	01-07-2023	test7	DK	0	0
Example	592849	CHECKED OUT	01-07-2023	test7	TH	0	0
Example	591126	CHECKED OUT	01-07-2023	test20	MY	0	0
Example	593332	CHECKED OUT	01-07-2023	test9	HK	1	2388.7
Example	593378	CHECKED OUT	01-07-2023	test4	HK	1	2652
Example	593418	CHECKED OUT	01-07-2023	test4	HK	0	0
Example	593381	CHECKED OUT	01-07-2023	test20	IN	1	2388.7
Example	593384	CHECKED OUT	01-07-2023	test6	PK	1	2970.02
Example	593385	CHECKED OUT	01-07-2023	test2	TH	0	0
Example	593388	CHECKED IN	01-07-2023	test11	BD	1	3158.59
Example	593465	CHECKED IN	01-07-2023	test11	BD	0	0
Example	589037	CANCELLED	01-07-2023	test11	AE	0	0
Example	589038	CANCELLED	01-07-2023	test11	AE	0	0
Example	589048	NO SHOW	01-07-2023	test6	IN	0	0
Example	589075	CANCELLED	01-07-2023	test9	HK	0	0
Example	589095	NO SHOW	01-07-2023	test15	IN	0	0
Example	589169	CHECKED OUT	01-07-2023	test12	US	1	3440.61
Example	589320	CANCELLED	01-07-2023	test29		0	0
Example	589331	CHECKED OUT	01-07-2023	test30	IN	1	3555.55
Example	593140	CHECKED OUT	01-07-2023	test30	TH	0	0
Example	589337	CHECKED OUT	01-07-2023	test17	IN	1	2643.56
Example	593281	CHECKED OUT	01-07-2023	test17	IN	0	0
Example	590657	NO SHOW	01-07-2023	test12	SA	0	0
Example	587099	CHECKED OUT	01-07-2023	test7	KR	0	0
Example	592718	CHECKED OUT	01-07-2023	test7	KR	0	0
Example	587186	CANCELLED	01-07-2023	test20	IN	0	0
Example	587268	CHECKED OUT	01-07-2023	test7	GB	1	3957.22
Example	587536	CHECKED OUT	01-07-2023	test7	DE	1	4147.27
Example	587809	CHECKED OUT	01-07-2023	test9	KR	0	0
Example	592940	CHECKED OUT	01-07-2023	test9	KR	0	0
Example	587816	CANCELLED	01-07-2023	test11	NL	0	0
Example	587886	CANCELLED	01-07-2023	test7	BE	0	0
Example	587937	CHECKED OUT	01-07-2023	test11	AU	1	4679.68
Example	592654	CHECKED OUT	01-07-2023	test11	AU	0	0
Example	592655	CHECKED OUT	01-07-2023	test11	AU	0	0
Example	588032	CANCELLED	01-07-2023	test7	SG	0	0
Example	588058	CHECKED OUT	01-07-2023	test11	NL	1	3059.68
Example	592565	CHECKED OUT	01-07-2023	test11	NL	0	0
Example	588097	CHECKED OUT	01-07-2023	test20	MY	1	2723.66
Example	588098	CHECKED OUT	01-07-2023	test9	JP	0	0
Example	588139	CANCELLED	01-07-2023	test20	TH	0	0
Example	593389	CHECKED IN	01-07-2023	test11	KW	1	3158.59
Example	593462	CHECKED IN	01-07-2023	test11	BD	0	0
Example	593464	CHECKED IN	01-07-2023	test11	BD	0	0
Example	593390	CHECKED OUT	01-07-2023	test17	NO	1	1938.22
Example	593416	CHECKED OUT	01-07-2023	test17	TH	0	0
Example	593417	CHECKED OUT	01-07-2023	test17	TH	0	0
Example	593429	CHECKED OUT	01-07-2023	test12	SA	1	2653.54
Example	592707	NO SHOW	01-07-2023	test20	TH	0	0
Example	592721	CHECKED OUT	01-07-2023	test6	TH	1	3653.35
Example	592724	CHECKED OUT	01-07-2023	test6	SA	0	0
Example	592744	CANCELLED	01-07-2023	test11	TW	0	0
Example	592747	CHECKED OUT	01-07-2023	test11	FR	0	0.02
Example	592348	CHECKED OUT	01-07-2023	test11	QA	1	3600
Example	592759	CHECKED OUT	01-07-2023	test8	JP	1	2720
Example	593071	CHECKED OUT	01-07-2023	test9	KR	0	0
Example	590679	CHECKED OUT	01-07-2023	test12	GB	1	2941.71
Example	593476	CHECKED OUT	01-07-2023	test12	TH	0	0
Example	590700	CANCELLED	01-07-2023	test14	RU	0	0
Example	590746	NO SHOW	01-07-2023	test11	BD	0	0
Example	590747	NO SHOW	01-07-2023	test11	BD	0	0
Example	590751	CANCELLED	01-07-2023	test11	GB	0	0
Example	590770	CANCELLED	01-07-2023	test20	IL	0	0
Example	590773	CHECKED OUT	01-07-2023	test10	IN	1	3903.56
Example	593285	CHECKED OUT	01-07-2023	test10	TH	0	0
Example	593286	CHECKED OUT	01-07-2023	test10	TH	0	0
Example	590791	CHECKED OUT	01-07-2023	test8	KR	1	2222.62
Example	593145	CHECKED OUT	01-07-2023	test8	KR	0	0
Example	592739	CHECKED OUT	01-07-2023	test8	IN	0	0
Example	588140	CANCELLED	01-07-2023	test20	TH	0	0
Example	588363	CHECKED OUT	01-07-2023	test7	BD	1	3580.2
Example	593277	CHECKED OUT	01-07-2023	test7	BD	0	0
Example	588364	CHECKED OUT	01-07-2023	test7	BD	1	3455.2
Example	593270	CHECKED OUT	01-07-2023	test7	BD	0	0
Example	593273	CHECKED OUT	01-07-2023	test7	BD	0	0
Example	588558	CANCELLED	01-07-2023	test20	IN	0	0
Example	588597	CHECKED OUT	01-07-2023	test9	IN	1	2900.91
Example	593294	CHECKED OUT	01-07-2023	test9	TH	0	0
Example	590292	CANCELLED	01-07-2023	test20	IL	0	0
Example	590295	CHECKED OUT	01-07-2023	test9	JP	0	0
Example	590296	CHECKED OUT	01-07-2023	test9	KR	0	0
Example	590301	CHECKED IN	01-07-2023	test1	TH	0	0
Example	590319	CHECKED OUT	01-07-2023	test9	KR	1	2397.01
Example	592780	CHECKED OUT	01-07-2023	test7	KW	1	4234
Example	592840	CHECKED OUT	01-07-2023	test7	KW	0	0
Example	592790	NO SHOW	01-07-2023	test11	CN	0	0
Example	592791	CHECKED IN	01-07-2023	test3	ES	0	0
Example	584770	CHECKED OUT	01-07-2023	test24	PH	0	0
Example	592811	CHECKED OUT	01-07-2023	test31	AU	0	0.01
Example	592812	CHECKED OUT	01-07-2023	test20	IN	0	0
Example	592832	NO SHOW	01-07-2023	test11	CN	0	0
Example	593474	CHECKED OUT	01-07-2023	test12		0	0
Example	593443	CHECKED OUT	01-07-2023	test7	IN	1	3557
Example	593457	CHECKED OUT	01-07-2023	test11	GB	1	3158.99
Example	593466	CHECKED OUT	01-07-2023	test11	TH	1	3159
Example	593468	CHECKED OUT	01-07-2023	test26	TH	1	0
Example	592787	CHECKED OUT	01-07-2023	test6	BD	0	0
Example	591507	CHECKED OUT	01-07-2023	test19	FI	0	0
Example	592653	CHECKED OUT	01-07-2023	test19	TH	0	0
Example	591512	NO SHOW	01-07-2023	test11	CN	0	0
Example	591514	CHECKED OUT	01-07-2023	test19	GB	0	0.01
Example	591525	CHECKED OUT	01-07-2023	test7	NL	0	0
Example	591529	CHECKED OUT	01-07-2023	test14	TH	0	0
Example	591557	CHECKED OUT	01-07-2023	test8	MY	1	2210
Example	592669	CHECKED OUT	01-07-2023	test8	CN	0	0
Example	592670	CHECKED OUT	01-07-2023	test8	CN	0	0
Example	591560	CHECKED OUT	01-07-2023	test12	ES	0	0
Example	591561	CHECKED OUT	01-07-2023	test7	BD	1	3470
Example	592959	CHECKED OUT	01-07-2023	test7	BD	0	0
Example	591574	CHECKED OUT	01-07-2023	test8	CN	1	2210
Example	591594	CHECKED OUT	01-07-2023	test20	CN	1	2048.85
Example	590322	CHECKED OUT	01-07-2023	test9	GB	0	0
Example	590323	CHECKED OUT	01-07-2023	test20	GB	0	0
Example	592459	CHECKED OUT	01-07-2023	test20	GB	0	0
Example	592961	CHECKED OUT	01-07-2023	test20		0	0
Example	590427	CANCELLED	01-07-2023	test11	IN	0	0
Example	590445	CHECKED OUT	01-07-2023	test9	JP	1	2753.27
Example	590451	CHECKED OUT	01-07-2023	test21	SG	1	4500
Example	590455	CHECKED OUT	01-07-2023	test9	IN	1	2643.58
Example	593136	CHECKED OUT	01-07-2023	test9	IN	0	0
Example	593138	CHECKED OUT	01-07-2023	test9	IN	0	0
Example	592838	CHECKED OUT	01-07-2023	test6	RU	0	0
Example	591191	CHECKED OUT	01-07-2023	test9	CN	1	2161.43
Example	591195	CHECKED OUT	01-07-2023	test9	CN	1	2576.43
Example	591196	CHECKED OUT	01-07-2023	test9	CN	1	2576.43
Example	592833	CHECKED OUT	01-07-2023	test11	DE	0	0
Example	592835	NO SHOW	01-07-2023	test11	CN	0	0
Example	592844	CHECKED OUT	01-07-2023	test11	US	0	0
Example	588131	CHECKED OUT	01-07-2023	test25	CN	0	-0.01
Example	592848	CHECKED OUT	01-07-2023	test11	US	0	0
Example	591429	CHECKED OUT	01-07-2023	test6	KR	1	2888.7
Example	592886	CHECKED OUT	01-07-2023	test11	KR	1	5800
Example	592894	CHECKED OUT	01-07-2023	test6	NO	0	0
Example	593152	CHECKED OUT	01-07-2023	test6	CN	0	0
Example	592914	CHECKED OUT	01-07-2023	test20	KR	1	2303.74
Example	592984	CHECKED OUT	01-07-2023	test20	KR	0	0
Example	592915	CHECKED IN	01-07-2023	test26	TH	0	0
Example	592917	CHECKED OUT	01-07-2023	test20	BH	1	2303.74
Example	592972	CHECKED OUT	01-07-2023	test20	BH	0	0
Example	593280	CHECKED OUT	01-07-2023	test11	GB	0	0
Example	575543	CHECKED OUT	01-07-2023	test15	SG	1	3287.45
Example	592964	CHECKED OUT	01-07-2023	test15	TH	0	0
Example	592965	CHECKED OUT	01-07-2023	test15	TH	0	0
Example	575545	CHECKED OUT	01-07-2023	test15	SG	1	1260.53
Example	592966	CHECKED OUT	01-07-2023	test15	TH	0	0
